"activeDate","installDate","app","user_label"
2024-01-20,2024-01-01,"app 1","user1"
2024-01-19,2024-01-01,"app 1","user2"
2024-01-19,2024-01-01,"app 1","user3"
2024-01-19,2024-01-01,"app 1","user4"
2024-01-19,2024-01-01,"app 1","user5"
2024-01-19,2024-01-01,"app 1","user6"
2024-01-19,2024-01-01,"app 1","user7"
2024-01-19,2024-01-01,"app 1","user8"
2024-01-19,2024-01-01,"app 1","user9"
2024-01-19,2024-01-01,"app 1","user10"
2024-01-03,2024-01-01,"app 1","user11"
2024-01-03,2024-01-01,"app 1","user12"
2024-01-03,2024-01-01,"app 1","user5"
2024-01-03,2024-01-01,"app 1","user13"
2024-01-03,2024-01-01,"app 1","user14"
2024-01-03,2024-01-01,"app 1","user15"
2024-01-03,2024-01-01,"app 1","user16"
2024-01-03,2024-01-01,"app 1","user17"
2024-01-03,2024-01-01,"app 1","user18"
2024-01-03,2024-01-01,"app 1","user19"
2024-01-03,2024-01-01,"app 1","user20"
2024-01-03,2024-01-01,"app 1","user21"
2024-01-03,2024-01-01,"app 1","user22"
2024-01-03,2024-01-01,"app 1","user3"
2024-01-03,2024-01-01,"app 1","user23"
2024-01-03,2024-01-01,"app 1","user10"
2024-01-03,2024-01-01,"app 1","user8"
2024-01-03,2024-01-01,"app 1","user24"
2024-01-03,2024-01-01,"app 1","user25"
2024-01-03,2024-01-01,"app 1","user26"
2024-01-03,2024-01-01,"app 1","user27"
2024-01-03,2024-01-01,"app 1","user28"
2024-01-03,2024-01-01,"app 1","user29"
2024-01-12,2024-01-01,"app 1","user30"
2024-01-12,2024-01-01,"app 1","user31"
2024-01-12,2024-01-01,"app 1","user32"
2024-01-12,2024-01-01,"app 1","user33"
2024-01-12,2024-01-01,"app 1","user34"
2024-01-12,2024-01-01,"app 1","user35"
2024-01-12,2024-01-01,"app 1","user36"
2024-01-12,2024-01-01,"app 1","user37"
2024-01-12,2024-01-01,"app 1","user2"
2024-01-12,2024-01-01,"app 1","user38"
2024-01-12,2024-01-01,"app 1","user39"
2024-01-12,2024-01-01,"app 1","user40"
2024-01-04,2024-01-01,"app 1","user40"
2024-01-04,2024-01-01,"app 1","user41"
2024-01-04,2024-01-01,"app 1","user29"
2024-01-04,2024-01-01,"app 1","user42"
2024-01-04,2024-01-01,"app 1","user43"
2024-01-04,2024-01-01,"app 1","user44"
2024-01-04,2024-01-01,"app 1","user45"
2024-01-04,2024-01-01,"app 1","user46"
2024-01-04,2024-01-01,"app 1","user47"
2024-01-04,2024-01-01,"app 1","user15"
2024-01-04,2024-01-01,"app 1","user39"
2024-01-04,2024-01-01,"app 1","user48"
2024-01-04,2024-01-01,"app 1","user49"
2024-01-04,2024-01-01,"app 1","user50"
2024-01-04,2024-01-01,"app 1","user51"
2024-01-04,2024-01-01,"app 1","user52"
2024-01-04,2024-01-01,"app 1","user33"
2024-01-04,2024-01-01,"app 1","user31"
2024-01-04,2024-01-01,"app 1","user53"
2024-01-04,2024-01-01,"app 1","user54"
2024-01-04,2024-01-01,"app 1","user55"
2024-01-04,2024-01-01,"app 1","user32"
2024-01-04,2024-01-01,"app 1","user27"
2024-01-04,2024-01-01,"app 1","user56"
2024-01-20,2024-01-01,"app 1","user37"
2024-01-20,2024-01-01,"app 1","user57"
2024-01-22,2024-01-01,"app 1","user58"
2024-01-22,2024-01-01,"app 1","user37"
2024-01-22,2024-01-01,"app 1","user10"
2024-01-22,2024-01-01,"app 1","user59"
2024-01-22,2024-01-01,"app 1","user60"
2024-01-22,2024-01-01,"app 1","user61"
2024-01-22,2024-01-01,"app 1","user28"
2024-01-22,2024-01-01,"app 1","user62"
2024-01-15,2024-01-01,"app 1","user63"
2024-01-15,2024-01-01,"app 1","user64"
2024-01-15,2024-01-01,"app 1","user65"
2024-01-15,2024-01-01,"app 1","user66"
2024-01-15,2024-01-01,"app 1","user35"
2024-01-15,2024-01-01,"app 1","user67"
2024-01-15,2024-01-01,"app 1","user12"
2024-01-15,2024-01-01,"app 1","user6"
2024-01-15,2024-01-01,"app 1","user40"
2024-01-15,2024-01-01,"app 1","user32"
2024-01-15,2024-01-01,"app 1","user68"
2024-01-21,2024-01-01,"app 1","user69"
2024-01-21,2024-01-01,"app 1","user70"
2024-01-21,2024-01-01,"app 1","user71"
2024-01-21,2024-01-01,"app 1","user72"
2024-01-21,2024-01-01,"app 1","user47"
2024-01-21,2024-01-01,"app 1","user52"
2024-01-21,2024-01-01,"app 1","user37"
2024-01-21,2024-01-01,"app 1","user73"
2024-01-21,2024-01-01,"app 1","user74"
2024-01-21,2024-01-01,"app 1","user26"
2024-01-21,2024-01-01,"app 1","user35"
2024-01-21,2024-01-01,"app 1","user75"
2024-01-21,2024-01-01,"app 1","user76"
2024-01-21,2024-01-01,"app 1","user77"
2024-01-21,2024-01-01,"app 1","user78"
2024-01-21,2024-01-01,"app 1","user59"
2024-01-21,2024-01-01,"app 1","user57"
2024-01-21,2024-01-01,"app 1","user17"
2024-01-21,2024-01-01,"app 1","user12"
2024-01-21,2024-01-01,"app 1","user27"
2024-01-21,2024-01-01,"app 1","user79"
2024-01-02,2024-01-01,"app 1","user7"
2024-01-02,2024-01-01,"app 1","user80"
2024-01-02,2024-01-01,"app 1","user71"
2024-01-02,2024-01-01,"app 1","user81"
2024-01-02,2024-01-01,"app 1","user82"
2024-01-02,2024-01-01,"app 1","user83"
2024-01-02,2024-01-01,"app 1","user84"
2024-01-02,2024-01-01,"app 1","user10"
2024-01-02,2024-01-01,"app 1","user61"
2024-01-02,2024-01-01,"app 1","user85"
2024-01-02,2024-01-01,"app 1","user74"
2024-01-02,2024-01-01,"app 1","user44"
2024-01-02,2024-01-01,"app 1","user86"
2024-01-02,2024-01-01,"app 1","user87"
2024-01-02,2024-01-01,"app 1","user62"
2024-01-02,2024-01-01,"app 1","user88"
2024-01-02,2024-01-01,"app 1","user19"
2024-01-02,2024-01-01,"app 1","user45"
2024-01-02,2024-01-01,"app 1","user89"
2024-01-02,2024-01-01,"app 1","user90"
2024-01-02,2024-01-01,"app 1","user91"
2024-01-02,2024-01-01,"app 1","user92"
2024-01-02,2024-01-01,"app 1","user2"
2024-01-02,2024-01-01,"app 1","user93"
2024-01-02,2024-01-01,"app 1","user94"
2024-01-02,2024-01-01,"app 1","user95"
2024-01-02,2024-01-01,"app 1","user96"
2024-01-02,2024-01-01,"app 1","user24"
2024-01-02,2024-01-01,"app 1","user97"
2024-01-02,2024-01-01,"app 1","user4"
2024-01-02,2024-01-01,"app 1","user98"
2024-01-02,2024-01-01,"app 1","user65"
2024-01-02,2024-01-01,"app 1","user99"
2024-01-02,2024-01-01,"app 1","user72"
2024-01-02,2024-01-01,"app 1","user100"
2024-01-02,2024-01-01,"app 1","user101"
2024-01-02,2024-01-01,"app 1","user18"
2024-01-02,2024-01-01,"app 1","user31"
2024-01-02,2024-01-01,"app 1","user51"
2024-01-02,2024-01-01,"app 1","user102"
2024-01-02,2024-01-01,"app 1","user38"
2024-01-02,2024-01-01,"app 1","user48"
2024-01-02,2024-01-01,"app 1","user35"
2024-01-02,2024-01-01,"app 1","user30"
2024-01-02,2024-01-01,"app 1","user11"
2024-01-28,2024-01-01,"app 1","user67"
2024-01-28,2024-01-01,"app 1","user24"
2024-01-28,2024-01-01,"app 1","user103"
2024-01-28,2024-01-01,"app 1","user104"
2024-01-28,2024-01-01,"app 1","user4"
2024-01-28,2024-01-01,"app 1","user105"
2024-01-28,2024-01-01,"app 1","user1"
2024-01-21,2024-01-01,"app 1","user106"
2024-01-21,2024-01-01,"app 1","user36"
2024-01-21,2024-01-01,"app 1","user63"
2024-01-21,2024-01-01,"app 1","user1"
2024-01-02,2024-01-01,"app 1","user41"
2024-01-02,2024-01-01,"app 1","user69"
2024-01-02,2024-01-01,"app 1","user107"
2024-01-02,2024-01-01,"app 1","user76"
2024-01-02,2024-01-01,"app 1","user108"
2024-01-02,2024-01-01,"app 1","user23"
2024-01-02,2024-01-01,"app 1","user8"
2024-01-02,2024-01-01,"app 1","user109"
2024-01-02,2024-01-01,"app 1","user14"
2024-01-02,2024-01-01,"app 1","user110"
2024-01-02,2024-01-01,"app 1","user42"
2024-01-02,2024-01-01,"app 1","user55"
2024-01-02,2024-01-01,"app 1","user111"
2024-01-02,2024-01-01,"app 1","user32"
2024-01-02,2024-01-01,"app 1","user112"
2024-01-02,2024-01-01,"app 1","user113"
2024-01-02,2024-01-01,"app 1","user114"
2024-01-02,2024-01-01,"app 1","user5"
2024-01-02,2024-01-01,"app 1","user73"
2024-01-02,2024-01-01,"app 1","user115"
2024-01-02,2024-01-01,"app 1","user12"
2024-01-02,2024-01-01,"app 1","user116"
2024-01-02,2024-01-01,"app 1","user34"
2024-01-02,2024-01-01,"app 1","user54"
2024-01-02,2024-01-01,"app 1","user17"
2024-01-02,2024-01-01,"app 1","user52"
2024-01-02,2024-01-01,"app 1","user53"
2024-01-02,2024-01-01,"app 1","user60"
2024-01-02,2024-01-01,"app 1","user46"
2024-01-02,2024-01-01,"app 1","user64"
2024-01-01,2024-01-01,"app 1","user117"
2024-01-01,2024-01-01,"app 1","user48"
2024-01-01,2024-01-01,"app 1","user1"
2024-01-01,2024-01-01,"app 1","user79"
2024-01-01,2024-01-01,"app 1","user118"
2024-01-01,2024-01-01,"app 1","user13"
2024-01-01,2024-01-01,"app 1","user119"
2024-01-01,2024-01-01,"app 1","user120"
2024-01-01,2024-01-01,"app 1","user121"
2024-01-01,2024-01-01,"app 1","user67"
2024-01-01,2024-01-01,"app 1","user122"
2024-01-01,2024-01-01,"app 1","user123"
2024-01-01,2024-01-01,"app 1","user124"
2024-01-01,2024-01-01,"app 1","user99"
2024-01-01,2024-01-01,"app 1","user125"
2024-01-01,2024-01-01,"app 1","user126"
2024-01-01,2024-01-01,"app 1","user127"
2024-01-01,2024-01-01,"app 1","user105"
2024-01-01,2024-01-01,"app 1","user57"
2024-01-01,2024-01-01,"app 1","user86"
2024-01-01,2024-01-01,"app 1","user96"
2024-01-01,2024-01-01,"app 1","user128"
2024-01-01,2024-01-01,"app 1","user129"
2024-01-01,2024-01-01,"app 1","user24"
2024-01-01,2024-01-01,"app 1","user130"
2024-01-01,2024-01-01,"app 1","user56"
2024-01-01,2024-01-01,"app 1","user94"
2024-01-01,2024-01-01,"app 1","user131"
2024-01-01,2024-01-01,"app 1","user108"
2024-01-01,2024-01-01,"app 1","user36"
2024-01-01,2024-01-01,"app 1","user102"
2024-01-01,2024-01-01,"app 1","user132"
2024-01-01,2024-01-01,"app 1","user133"
2024-01-01,2024-01-01,"app 1","user134"
2024-01-01,2024-01-01,"app 1","user60"
2024-01-01,2024-01-01,"app 1","user32"
2024-01-01,2024-01-01,"app 1","user135"
2024-01-01,2024-01-01,"app 1","user25"
2024-01-01,2024-01-01,"app 1","user90"
2024-01-01,2024-01-01,"app 1","user68"
2024-01-01,2024-01-01,"app 1","user136"
2024-01-01,2024-01-01,"app 1","user137"
2024-01-01,2024-01-01,"app 1","user138"
2024-01-01,2024-01-01,"app 1","user139"
2024-01-01,2024-01-01,"app 1","user140"
2024-01-01,2024-01-01,"app 1","user141"
2024-01-01,2024-01-01,"app 1","user74"
2024-01-01,2024-01-01,"app 1","user12"
2024-01-01,2024-01-01,"app 1","user64"
2024-01-01,2024-01-01,"app 1","user142"
2024-01-01,2024-01-01,"app 1","user84"
2024-01-01,2024-01-01,"app 1","user143"
2024-01-01,2024-01-01,"app 1","user33"
2024-01-01,2024-01-01,"app 1","user144"
2024-01-01,2024-01-01,"app 1","user35"
2024-01-01,2024-01-01,"app 1","user14"
2024-01-01,2024-01-01,"app 1","user37"
2024-01-01,2024-01-01,"app 1","user21"
2024-01-01,2024-01-01,"app 1","user62"
2024-01-25,2024-01-01,"app 1","user73"
2024-01-25,2024-01-01,"app 1","user2"
2024-01-25,2024-01-01,"app 1","user67"
