"daySinceInstall","feature","users","actions"
1,"potion_energy_buy",2576,18788
0,"levelUp",25231,72059
0,"potion_energyMeter",4971,7597
0,"bedroom_sleep_start",17759,110003
9,"potion_max_buy",177,2090
3,"levelUp",5165,10189
18,"food_feeding",332,9949
10,"food_video",156,301
15,"minigame_play",798,5814
7,"minigame_play",2400,16966
10,"potion_energy_buy",463,2769
13,"potion_energyMeter",506,823
14,"levelUp",1061,1702
8,"bathroom_soaping",2233,11714
5,"food_video",278,474
6,"levelUp",3125,5699
16,"bedroom_energyVideo",15,17
0,"food_purchase",12495,2201826
5,"food_purchase",1505,170634
12,"food_purchase",661,59888
11,"food_purchase",837,85125
0,"food_video",3565,6928
1,"bathroom_soaping",6940,52803
7,"sticker_open",744,2462
1,"potion_energyMeter",3296,6282
7,"wardrobe_eqip_item",1174,5856
2,"bedroom_sleep_start",4331,32571
9,"bedroom_sleep_start",1678,11718
17,"potion_energyMeter",179,297
3,"potion_energyMeter",1742,3205
5,"potion_max_buy",269,6090
10,"food_feeding",2634,84407
1,"potion_max_buy",869,15693
11,"minigame_play",1639,11893
2,"potion_max_buy",476,8238
16,"wardrobe_eqip_item",245,1426
4,"bathroom_soaping",3384,17332
8,"sticker_open",701,2557
2,"food_purchase",3077,358227
4,"sticker_open",1146,4186
9,"food_purchase",1007,110863
13,"potion_energy_buy",272,1728
9,"potion_energy_buy",524,3839
4,"potion_energyMeter",1462,2593
3,"food_video",460,814
7,"potion_energy_buy",623,3009
14,"food_purchase",453,40336
7,"food_purchase",1283,126582
9,"levelUp",2386,3917
15,"wardrobe_eqip_item",347,1429
3,"potion_max_buy",372,6920
16,"sticker_open",194,734
3,"potion_energy_buy",1190,9094
13,"minigame_play",1199,8006
8,"potion_energyMeter",986,1787
15,"food_purchase",337,33750
6,"bathroom_soaping",2640,14405
2,"minigame_continue",276,795
7,"potion_energyMeter",1042,1865
14,"wardrobe_eqip_item",398,1876
9,"bedroom_energyVideo",66,76
1,"bedroom_energyVideo",499,608
7,"bedroom_energyVideo",80,100
5,"bedroom_energyVideo",104,126
14,"food_feeding",1309,38385
13,"potion_max_buy",82,1479
8,"potion_max_buy",192,2469
18,"bedroom_sleep_start",200,1383
9,"sticker_open",653,2838
6,"minigame_continue",126,434
17,"food_feeding",568,17537
4,"potion_max_buy",289,5296
16,"food_feeding",779,22129
5,"minigame_continue",130,480
1,"minigame_continue",418,1154
12,"potion_max_buy",100,1525
14,"sticker_open",278,798
14,"food_video",88,152
9,"minigame_continue",90,307
13,"food_video",96,182
19,"bedroom_sleep_start",95,496
15,"food_video",67,112
15,"potion_max_buy",70,1411
18,"wardrobe_eqip_item",99,573
18,"sticker_open",77,222
19,"food_video",15,23
11,"minigame_continue",68,230
17,"minigame_continue",22,63
18,"potion_energy_buy",53,413
14,"minigame_continue",41,102
19,"food_purchase",58,11061
19,"sticker_open",33,70
2,"food_video",660,1237
7,"food_feeding",3297,109964
13,"minigame_continue",45,120
19,"bedroom_energyVideo",3,4
18,"potion_max_buy",18,471
17,"potion_max_buy",25,246
3,"bedroom_sleep_start",3408,25894
2,"sticker_open",1803,6693
18,"potion_energyMeter",104,226
16,"potion_max_buy",56,869
14,"bedroom_energyVideo",20,23
1,"food_feeding",9671,361372
1,"wardrobe_eqip_item",4573,24215
16,"bedroom_sleep_start",441,2844
13,"bedroom_energyVideo",24,31
13,"levelUp",1284,1946
9,"minigame_play",2079,15138
3,"food_purchase",2318,254714
11,"food_feeding",2249,73473
2,"wardrobe_eqip_item",2794,14163
14,"bedroom_sleep_start",718,4523
10,"food_purchase",971,91323
3,"food_feeding",5298,195058
11,"potion_energy_buy",367,2945
19,"minigame_continue",8,23
5,"food_feeding",3886,131875
13,"sticker_open",360,1214
0,"bathroom_soaping",11606,77001
2,"bathroom_soaping",4901,30589
13,"bedroom_sleep_start",931,5518
17,"bedroom_sleep_start",316,1663
8,"levelUp",2613,4329
10,"wardrobe_eqip_item",859,4048
11,"levelUp",1807,2915
12,"potion_energy_buy",337,1902
6,"food_video",245,497
5,"bedroom_sleep_start",2353,15872
0,"potion_max_buy",2622,64483
0,"sticker_open",3638,19729
12,"levelUp",1456,2328
9,"potion_energyMeter",926,1709
7,"bathroom_soaping",2530,12746
3,"sticker_open",1347,5133
6,"wardrobe_eqip_item",1266,6144
9,"wardrobe_eqip_item",907,4588
2,"potion_energy_buy",1567,9749
6,"food_feeding",3569,132693
12,"food_feeding",1834,57777
13,"wardrobe_eqip_item",515,2522
17,"minigame_play",414,2848
6,"bedroom_energyVideo",99,120
4,"food_purchase",1905,232505
18,"food_video",24,63
17,"food_video",24,42
3,"wardrobe_eqip_item",2106,10299
9,"bathroom_soaping",2141,11273
10,"bedroom_energyVideo",45,48
0,"food_feeding",24681,444232
15,"bedroom_energyVideo",28,32
1,"levelUp",10030,25084
1,"food_video",1345,2716
15,"potion_energyMeter",321,552
18,"levelUp",258,456
11,"bathroom_soaping",1716,8767
15,"sticker_open",244,890
2,"potion_energyMeter",2330,4412
6,"bedroom_sleep_start",2143,14671
11,"wardrobe_eqip_item",720,3459
19,"potion_energyMeter",48,89
12,"minigame_continue",63,263
3,"minigame_play",3649,26868
1,"minigame_play",6345,46109
12,"potion_energyMeter",603,1018
10,"levelUp",2220,3579
6,"food_purchase",1385,143023
1,"bedroom_sleep_start",6568,60149
2,"levelUp",6704,14270
9,"food_feeding",2797,90622
2,"food_feeding",6699,241749
3,"bathroom_soaping",3968,23028
16,"levelUp",619,997
3,"minigame_continue",225,633
0,"minigame_play",10864,60386
14,"bathroom_soaping",992,4432
18,"minigame_play",258,1928
8,"food_feeding",3037,102812
5,"bathroom_soaping",2876,15210
4,"levelUp",4285,7801
8,"minigame_play",2149,15232
6,"sticker_open",848,3294
8,"minigame_continue",89,343
2,"minigame_play",4600,33436
12,"bathroom_soaping",1396,7332
6,"potion_energy_buy",685,4977
15,"food_feeding",1044,30704
12,"bedroom_sleep_start",1118,7443
10,"bathroom_soaping",1988,9819
10,"sticker_open",603,2490
5,"levelUp",3535,6254
10,"bedroom_sleep_start",1496,10179
13,"bathroom_soaping",1235,5828
15,"bathroom_soaping",813,3381
0,"minigame_continue",744,1684
5,"wardrobe_eqip_item",1364,6907
15,"levelUp",850,1307
11,"bedroom_sleep_start",1347,8781
8,"bedroom_sleep_start",1836,12095
17,"potion_energy_buy",91,317
8,"bedroom_energyVideo",67,80
10,"potion_energyMeter",830,1472
17,"wardrobe_eqip_item",173,1084
17,"bathroom_soaping",410,1973
16,"potion_energyMeter",253,431
16,"food_video",52,117
14,"potion_energy_buy",207,2099
17,"food_purchase",194,20039
4,"food_video",359,652
2,"bedroom_energyVideo",252,311
11,"food_video",128,286
11,"potion_max_buy",129,2609
15,"bedroom_sleep_start",602,3143
13,"food_purchase",578,58426
19,"food_feeding",157,4144
14,"potion_energyMeter",403,647
12,"sticker_open",417,1341
3,"bedroom_energyVideo",174,197
6,"potion_max_buy",226,5792
15,"potion_energy_buy",181,1098
4,"minigame_continue",167,437
17,"bedroom_energyVideo",11,19
15,"minigame_continue",37,100
19,"wardrobe_eqip_item",49,235
12,"bedroom_energyVideo",31,39
19,"potion_max_buy",10,145
18,"minigame_continue",10,10
16,"potion_energy_buy",144,1072
13,"food_feeding",1596,45169
16,"food_purchase",287,31815
19,"potion_energy_buy",19,1783
4,"minigame_play",3205,22719
6,"potion_energyMeter",1161,2105
4,"food_feeding",4521,158958
8,"food_video",183,348
4,"wardrobe_eqip_item",1704,8294
0,"potion_energy_buy",6045,61373
10,"potion_max_buy",170,2954
17,"levelUp",432,686
7,"potion_max_buy",198,4091
16,"minigame_continue",15,39
19,"bathroom_soaping",116,514
18,"bedroom_energyVideo",12,16
4,"bedroom_energyVideo",125,157
7,"bedroom_sleep_start",1988,13162
6,"minigame_play",2525,17302
16,"bathroom_soaping",601,2543
7,"levelUp",2882,4995
10,"minigame_play",1872,13773
7,"minigame_continue",135,463
12,"food_video",83,162
8,"potion_energy_buy",549,2734
12,"wardrobe_eqip_item",586,2782
0,"wardrobe_eqip_item",8123,43052
8,"food_purchase",1145,117076
19,"minigame_play",122,923
5,"potion_energyMeter",1189,2168
18,"bathroom_soaping",262,1240
1,"sticker_open",2855,11991
5,"minigame_play",2737,18289
8,"wardrobe_eqip_item",1030,5005
16,"minigame_play",564,4137
1,"food_purchase",5306,646836
4,"bedroom_sleep_start",2788,19869
5,"sticker_open",926,3055
5,"potion_energy_buy",747,5994
4,"potion_energy_buy",928,5953
11,"potion_energyMeter",704,1243
0,"bedroom_energyVideo",1082,1254
10,"minigame_continue",100,229
14,"minigame_play",961,6323
7,"food_video",227,450
12,"minigame_play",1371,9494
14,"potion_max_buy",57,826
9,"food_video",194,356
11,"sticker_open",509,2101
11,"bedroom_energyVideo",38,43
19,"levelUp",125,180
17,"sticker_open",113,351
18,"food_purchase",130,13028
